,horizon europe question content,The most similar question in DFG,Similarity Score 1,1st answer No.,The second most similar question in DFG,Similarity Score2,2nd answer No.
0,Will you re-use any existing data and what will you re-use it for? State the reasons if re-use of any existing data has been considered but discarded.,How is the data to be stored and archived throughout the project duration? ,0.9023221731185913,6,Who is responsible for curating the data once the project has ended? ,0.8760305643081665,18
1,What types and formats of data will the project generate or re-use?,How is the data to be stored and archived throughout the project duration? ,0.8998273611068726,6,"Which data types (in terms of data formats like image data, text data or measurement data) arise in your project and in what way are they further processed? To what extent do these arise or what is the anticipated data volume?  ",0.8972055912017822,2
2,What is the purpose of the data generation or re-use and its relation to the objectives of the project?,How is the data to be stored and archived throughout the project duration? ,0.8727306127548218,6,How does your project generate new data? ,0.8704694509506226,0
3,What is the expected size of the data that you intend to generate or re-use?,How does your project generate new data? ,0.8853671550750732,0,How is the data to be stored and archived throughout the project duration? ,0.8542593121528625,6
4,"What is the origin/provenance of the data, either generated or re-used?","What measures are being adopted to ensure high data quality? Are quality controls in place and if so, how do they operate? ",0.8819403052330017,4,Who is responsible for curating the data once the project has ended? ,0.8808887004852295,18
5,"To whom might your data be useful ('data utility'), outside your project?","Which data types (in terms of data formats like image data, text data or measurement data) arise in your project and in what way are they further processed? To what extent do these arise or what is the anticipated data volume?  ",0.8799164891242981,2,"What measures are being adopted to ensure high data quality? Are quality controls in place and if so, how do they operate? ",0.8623911142349243,4
6,Will data be identified by a persistent identifier?,How is the data to be stored and archived throughout the project duration? ,0.8216443061828613,6,Is existing data reused? ,0.8183519840240479,1
7,"Will rich metadata be provided to allow discovery? What metadata will be created? What disciplinary or general standards will be followed? In case metadata standards do not exist in your discipline, please outline what type of metadata will be created and how.","What approaches are being taken to describe the data in a comprehensible manner (such as the use of available metadata, documentation standards or ontologies)? ",0.8938653469085693,3,"What measures are being adopted to ensure high data quality? Are quality controls in place and if so, how do they operate? ",0.8478416204452515,4
8,Will search keywords be provided in the metadata to optimize the possibility for discovery and then potential re-use?,"What approaches are being taken to describe the data in a comprehensible manner (such as the use of available metadata, documentation standards or ontologies)? ",0.8167256712913513,3,How is the data to be stored and archived throughout the project duration? ,0.7854173183441162,6
9,Will metadata be offered in such a way that it can be harvested and indexed? ,"What approaches are being taken to describe the data in a comprehensible manner (such as the use of available metadata, documentation standards or ontologies)? ",0.8362517356872559,3,How is the data to be stored and archived throughout the project duration? ,0.8130918145179749,6
10,Will the data be deposited in a trusted repository?,Who is responsible for curating the data once the project has ended? ,0.8741634488105774,18,"What measures are being adopted to ensure high data quality? Are quality controls in place and if so, how do they operate? ",0.8620820641517639,4
11,Have you explored appropriate arrangements with the identified repository where your data will be deposited? ,How is the data to be stored and archived throughout the project duration? ,0.8696025609970093,6,Who is responsible for curating the data once the project has ended? ,0.8528157472610474,18
12,Does the repository ensure that the data is assigned an identifier? Will the repository resolve the identifier to a digital object? ,Who is responsible for curating the data once the project has ended? ,0.841561496257782,18,How is the data to be stored and archived throughout the project duration? ,0.8407666087150574,6
13,"Will all data be made openly available? If certain datasets cannot be shared (or need to be shared under restricted access conditions), explain why, clearly separating legal and contractual reasons from intentional restrictions. Note that in multi-beneficiary projects it is also possible for specific beneficiaries to keep their data closed if opening their data goes against their legitimate interests or other constraints as per the Grant Agreement.",When is the research data available for use by third parties? ,0.8507102727890015,15,What is in place to secure sensitive data throughout the project duration (access and usage rights)? ,0.8497461080551147,7
14,"If an embargo is applied to give time to publish or seek protection of the intellectual property (e.g. patents), specify why and how long this will apply, bearing in mind that research data should be made available as soon as possible.",When is the research data available for use by third parties? ,0.8652043342590332,15,What is in place to consider aspects of use and copyright law as well as ownership issues? ,0.8300385475158691,10
15,Will the data be accessible through a free and standardized access protocol?,"What measures are being adopted to ensure high data quality? Are quality controls in place and if so, how do they operate? ",0.867530345916748,4,"What approaches are being taken to describe the data in a comprehensible manner (such as the use of available metadata, documentation standards or ontologies)? ",0.866462230682373,3
16,"If there are restrictions on use, how will access be provided to the data, both during and after the end of the project?",What is in place to secure sensitive data throughout the project duration (access and usage rights)? ,0.8685874938964844,7,"What measures are being adopted to ensure high data quality? Are quality controls in place and if so, how do they operate? ",0.8679742813110352,4
17,How will the identity of the person accessing the data be ascertained?,Who is responsible for curating the data once the project has ended? ,0.8591641187667847,18,Who is responsible for adequate handling of the research data (description of roles and responsibilities within the project)? ,0.8281141519546509,16
18,Is there a need for a data access committee (e.g. to evaluate/approve access requests to personal/sensitive data)?,What is in place to secure sensitive data throughout the project duration (access and usage rights)? ,0.8623604774475098,7,What are the legal specifics associated with the handling of research data in your project? ,0.8148140907287598,8
19,"Will metadata be made openly available and licenced under a public domain dedication CC0, as per the Grant Agreement? If not, please clarify why. Will metadata contain information to enable the user to access the data?","What approaches are being taken to describe the data in a comprehensible manner (such as the use of available metadata, documentation standards or ontologies)? ",0.8798121809959412,3,Who is responsible for curating the data once the project has ended? ,0.8595371842384338,18
20,How long will the data remain available and findable? Will metadata be guaranteed to remain available after data is no longer available?,How is the data to be stored and archived throughout the project duration? ,0.8953102827072144,6,Who is responsible for curating the data once the project has ended? ,0.8697048425674438,18
21,Will documentation or reference about any software be needed to access or read the data be included? ,"What measures are being adopted to ensure high data quality? Are quality controls in place and if so, how do they operate? ",0.906033456325531,4,"What approaches are being taken to describe the data in a comprehensible manner (such as the use of available metadata, documentation standards or ontologies)? ",0.8981568217277527,3
22,Will it be possible to include the relevant software (e.g. in open source code)?,What is in place to consider aspects of use and copyright law as well as ownership issues? ,0.8097992539405823,10,Who is responsible for curating the data once the project has ended? ,0.7951484322547913,18
23,"What data and metadata vocabularies, standards, formats or methodologies will you follow to make your data interoperable to allow data exchange and re-use within and across disciplines? ","What approaches are being taken to describe the data in a comprehensible manner (such as the use of available metadata, documentation standards or ontologies)? ",0.9179812669754028,3,"Which data types (in terms of data formats like image data, text data or measurement data) arise in your project and in what way are they further processed? To what extent do these arise or what is the anticipated data volume?  ",0.9020652174949646,2
24,Will you follow community-endorsed interoperability best practices? Which ones? ,"What measures are being adopted to ensure high data quality? Are quality controls in place and if so, how do they operate? ",0.8449162244796753,4,"What approaches are being taken to describe the data in a comprehensible manner (such as the use of available metadata, documentation standards or ontologies)? ",0.8206637501716614,3
25,"In case it is unavoidable that you use uncommon or generate project specific ontologies or vocabularies, will you provide mappings to more commonly used ontologies? ",Is existing data reused? ,0.8391161561012268,1,"What approaches are being taken to describe the data in a comprehensible manner (such as the use of available metadata, documentation standards or ontologies)? ",0.8219459056854248,3
26,"Will you openly publish the generated ontologies or vocabularies to allow reusing, refining or extending them?","What approaches are being taken to describe the data in a comprehensible manner (such as the use of available metadata, documentation standards or ontologies)? ",0.8750314712524414,3,Who is responsible for curating the data once the project has ended? ,0.826059103012085,18
27,"Will your data include qualified references  to other data (e.g. other data from your project, or datasets from previous research)?",When is the research data available for use by third parties? ,0.8953575491905212,15,Who is responsible for curating the data once the project has ended? ,0.8809658885002136,18
28,"How will you provide documentation needed to validate data analysis and facilitate data re-use (e.g. readme files with information on methodology, codebooks, data cleaning, analyses, variable definitions, units of measurement, etc.)?","What measures are being adopted to ensure high data quality? Are quality controls in place and if so, how do they operate? ",0.8866669535636902,4,"Which data types (in terms of data formats like image data, text data or measurement data) arise in your project and in what way are they further processed? To what extent do these arise or what is the anticipated data volume?  ",0.8746631741523743,2
29,Will your data be made freely available in the public domain to permit the widest re-use possible? ,When is the research data available for use by third parties? ,0.8661373853683472,15,Who is responsible for curating the data once the project has ended? ,0.8642925024032593,18
30,"Will your data be licensed using standard reuse licenses, in line with the obligations set out in the Grant Agreement?",What is in place to consider aspects of use and copyright law as well as ownership issues? ,0.8871337175369263,10,What is in place to secure sensitive data throughout the project duration (access and usage rights)? ,0.841571033000946,7
31,"Will the data produced in the project be useable by third parties, in particular after the end of the project?",When is the research data available for use by third parties? ,0.9257980585098267,15,Who is responsible for curating the data once the project has ended? ,0.8920947313308716,18
32,Will the provenance of the data be thoroughly documented using the appropriate standards?,"What measures are being adopted to ensure high data quality? Are quality controls in place and if so, how do they operate? ",0.9083765149116516,4,"What approaches are being taken to describe the data in a comprehensible manner (such as the use of available metadata, documentation standards or ontologies)? ",0.8998735547065735,3
33,"Further to the FAIR principles, DMPs should also address research outputs other than data, and should carefully consider aspects related to the allocation of resources, data security and ethical aspects.",When is the research data available for use by third parties? ,0.9169410467147827,15,Which resources (costs; time or other) are required to implement adequate handling of research data within the project? ,0.9019959568977356,17
34,"In addition to the management of data, beneficiaries should also consider and plan for the management of other research outputs that may be generated or re-used throughout their projects. Such outputs can be either digital (e.g. software, workflows, protocols, models, etc.) or physical (e.g. new materials, antibodies, reagents, samples, etc.).",Which resources (costs; time or other) are required to implement adequate handling of research data within the project? ,0.8641570806503296,17,Who is responsible for adequate handling of the research data (description of roles and responsibilities within the project)? ,0.8425120115280151,16
35,"Beneficiaries should consider which of the questions pertaining to FAIR data above, can apply to the management of other research outputs, and should strive to provide sufficient detail on how their research outputs will be managed and shared, or made available for re-use, in line with the FAIR principles.",When is the research data available for use by third parties? ,0.8705974817276001,15,Which resources (costs; time or other) are required to implement adequate handling of research data within the project? ,0.8501912951469421,17
36,"What will the costs be for making data or other research outputs FAIR in your project (e.g. direct and indirect costs related to storage, archiving, re-use, security, etc.) ?",What is in place to consider aspects of use and copyright law as well as ownership issues? ,0.8625224828720093,10,When is the research data available for use by third parties? ,0.8531826138496399,15
37,How will these be covered? Note that costs related to research data/output management are eligible as part of the Horizon Europe grant (if compliant with the Grant Agreement conditions),Which resources (costs; time or other) are required to implement adequate handling of research data within the project? ,0.9036562442779541,17,When is the research data available for use by third parties? ,0.8687146306037903,15
38,Who will be responsible for data management in your project?,Who is responsible for adequate handling of the research data (description of roles and responsibilities within the project)? ,0.8881590962409973,16,Which resources (costs; time or other) are required to implement adequate handling of research data within the project? ,0.8469356298446655,17
39,"How will long term preservation be ensured? Discuss the necessary resources to accomplish this (costs and potential value, who decides and how, what data will be kept and for how long)?",How is the data to be stored and archived throughout the project duration? ,0.8911824226379395,6,"What measures are being adopted to ensure high data quality? Are quality controls in place and if so, how do they operate? ",0.8644607663154602,4
40,What provisions are or will be in place for data security (including data recovery as well as secure storage/archiving and transfer of sensitive data)?,What is in place to secure sensitive data throughout the project duration (access and usage rights)? ,0.8970558047294617,7,"What measures are being adopted to ensure high data quality? Are quality controls in place and if so, how do they operate? ",0.8642809391021729,4
41,Will the data be safely stored in trusted repositories for long term preservation and curation?,Who is responsible for curating the data once the project has ended? ,0.8853049278259277,18,"What measures are being adopted to ensure high data quality? Are quality controls in place and if so, how do they operate? ",0.8507900238037109,4
42,"Are there, or could there be, any ethics or legal issues that can have an impact on data sharing? These can also be discussed in the context of the ethics review. If relevant, include references to ethics deliverables and ethics chapter in the Description of the Action (DoA).",What are the legal specifics associated with the handling of research data in your project? ,0.8663195967674255,8,What is in place to secure sensitive data throughout the project duration (access and usage rights)? ,0.8651224970817566,7
43,Will informed consent for data sharing and long term preservation be included in questionnaires dealing with personal data?,What is in place to secure sensitive data throughout the project duration (access and usage rights)? ,0.8366713523864746,7,What are the legal specifics associated with the handling of research data in your project? ,0.8011279106140137,8
44,"Do you, or will you, make use of other national/funder/sectorial/departmental procedures for data management? If yes, which ones (please list and briefly describe them)?","What measures are being adopted to ensure high data quality? Are quality controls in place and if so, how do they operate? ",0.9024407863616943,4,How is the data to be stored and archived throughout the project duration? ,0.8569566011428833,6
